message, description, ru, el, en, lat, placeholders

wordStudy, Wordstudy button title, Изучать слова, Μαθαίνω τις λέξεις, Study words
search, Search Word examples button title, Поиск слова в источниках, Αναζήτιση τον λόγο στης πηγές, Lookup word in sources


tense, verb/participle tense, время, χρόνος, tense, tempus
pres, present tense, настоящее, παρόν, present, praesens
fut, future tense, будущее, μελλοντικός, future, futurum
aor, aorist tense, аорист, αόριστος, aorist, aoristus
imperf, imperfect tense, имперфект, παρατατικός, imperfect, imperfectum
perf, perfect tense, перфект, παρακείμενος, συντελικός, perfectum
plup, pluperfect tense, плюсквамперфект (давнопрошедшее), υπερσυντελικός, pluperfect (past perfect), plus quam perfectum
futperf, future perfect tense, будущее совершенное, μέλλοντος συντελικός, future perfect, futurum perfectum

mood, verb mood, наклонение, έγκλιση, mood, modus
ind, indicative mood, изъявительное, οριστική, indicative, indicativus
subj, subjunctive mood, сослагательное, υποτακτική, subjunctive, conjunctivus
opt, optative mood, желательное, ευκτική, optative, optativus
imperat, imperative mood, повелительное, προστακτική, imperative, imperativus

voice, verb/participle voice, залог, φωνή, voice, vox
act, active voice, действительный, ενεργετική, active, activum
mp, mediopassive voice, средне-страдательный, μέσοπαθητική, mediopassive, mediopassivum
mid, middle voice, средний, μέση, middle, medium
pass, passive voice, страдательный, παθητική, passive, passivum
inf, infinitive, инфинитив, απαρέμφατο, infinitive, infinituvus

person, verb person, лицо, πρόσωπο, person, persona
1st, 1-е л.,
2nd, 2-е л.,
3rd, 3-е л., 

number, number (grammar, morphology)
sg, ед.ч.,
pl, мн.ч.,
dl, дв.ч., 

gender, gender (grammar, morphology)
masc, мужской род, αρσενικό
fem, женский род, θηλυκό
neut, средний род, ουδέτερο

case, case (grammar\, morphology), падеж, πτώση, case, casus
nom, nominative case, именительный, ονομαστική, nominative
gen, genitive case, родительный, γενική, genitive
dat, dative case, дательный, δατική, dative, dativus
acc, accusative case, винительный, αιτιατική, accusative, accusativus
voc, vocative case, звательный, κλητική, vocative, vocativus 

degree, adjective degree, 
comp, сравнительная степень,
superl, превосходная степень, 

pos, part of speech, часть речи, μέρος, part of speech, 
noun, noun, существительное, ουσιαστικό
verb, verb, глагол, ρήμα, verb, verbum
part, participle, причастие, μετοχή, participle, participium
adj, adjective, прилагательное, επίθετο, adjective, adjectivum
adv, adverb, наречие, επίρρημα, adverb, adverbum
num, numeral, числительное, αριθμικό, numeral, numeralis
prep, preposition, предлог, πρὀθεση, preposition, praepositio
indecl, indeclinable parts of speech, неизменяемые части речи
pron, pronoun, местоимение, μετονυμία, pronoun, pronomen